ISBN,Book_Title,Author,Average_Rating,Number_Of_Ratings
9780439064866,"Harry Potter and the Chamber of Secrets (Book 2)","J. K. Rowling",6.61,170
9780439139595,"Harry Potter and the Goblet of Fire (Book 4)","J. K. Rowling",6.56,195
9780439136358,"Harry Potter and the Prisoner of Azkaban (Book 3)","J. K. Rowling",6.47,197
9780590353403,"Harry Potter and the Sorcerer's Stone (Book 1)","J. K. Rowling",6.36,168
9780439358064,"Harry Potter and the Order of the Phoenix (Book 5)","J. K. Rowling",5.59,335
9780439136365,"Harry Potter and the Prisoner of Azkaban (Book 3)","J. K. Rowling",5.35,226
9780812550702,"Ender's Game (Ender Wiggins Saga (Paperback))","Orson Scott Card",5.30,195
9780671027346,"The Perks of Being a Wallflower","Stephen Chbosky",5.19,103
9780439139601,"Harry Potter and the Goblet of Fire (Book 4)","J. K. Rowling",5.10,193
9780345339683,"The Hobbit : The Enchanting Prelude to The Lord of the Rings","J.R.R. TOLKIEN",5.01,281
